parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
theta1.1,0.9663132918077637,0.01889141464612037,0.0002303490087728745,6406.647213033035,7255.099806053753,0.9999465543936065,
theta1.2,0.03368670819223632,0.018891414646120375,0.0002303490087728745,6406.647213033032,7255.099806053753,0.9999464758539364,
theta2.1,0.008915473212842043,0.00517861820298464,6.145275816063859e-5,6680.4213529547715,8040.734088074274,1.0000709143324922,
theta2.2,0.991084526787158,0.00517861820298464,6.145275816063867e-5,6680.421352954763,8040.734088074274,1.0000709143324922,
phi.1,-2.344312669479608,0.011066469448491684,0.00013539321970197865,6680.726865566986,7779.014959334033,0.9999433060039339,
phi.2,-0.7441489095282867,0.005637585251182837,4.5840655221526946e-5,15147.934055766196,15010.424226629379,0.9999913267121243,
lambda.1,2.428273581477618,0.011326365293245658,0.00013762665341764468,6783.881207398617,8773.673772257203,0.9999503201683141,
lambda.2,3.542325565566749,0.005472416043494145,4.412494339663617e-5,15383.704746007146,15764.068088675844,1.0000301558314464,
theta.1.1,0.9663132918077637,0.01889141464612037,0.0002303490087728745,6406.647213033035,7255.099806053753,0.9999465543936065,
theta.2.1,0.008915473212842043,0.00517861820298464,6.145275816063859e-5,6680.4213529547715,8040.734088074274,1.0000709143324922,
